ensemblID	296732	296733	296734	296898	296899	296900	296901	296902	296903	296904	296905	296906	296907	297045	297046	297047
ENSG00000223972	1.61	3.11	0	0	0.14	0	0	0.66	0.32	5.44	2.28	0.27	1.58	0.12	1.89	0.84
ENSG00000227232	6.52	15.49	11.24	12.47	14.32	23.67	17.21	33.12	28.61	14.17	16.74	30.09	18.74	25.57	38.42	17.31
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0.03	0
ENSG00000274890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	1.88	1.25	0	1.09	2.06	3.03	1.04	1.36	2.2	11.26	3.55	0.19	0.29	2.09	1.69	3.32
ENSG00000239945	0	0.38	0.03	1.21	0.86	0.46	0	0	0.49	0	0.91	0.63	0.07	0.05	0.3	0.3
ENSG00000233750	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0
ENSG00000268903	1018.12	569.99	646.27	182.62	609.99	666.76	635.28	325.72	700.56	837.6	551.23	110.93	475.61	282.26	431.3	312.47
ENSG00000269981	318.71	155.7	90.78	150.54	209.53	220.29	168.72	136.45	215.77	109.31	298.6	73.01	99.57	110.44	226.49	159.89
ENSG00000239906	3.52	4.17	0.8	19.99	35.39	34.73	5.74	5.43	43.18	11.78	38.65	4.73	3.89	8.28	13.23	7.63
ENSG00000241860	9.31	2.62	0.83	30.19	45.88	36.09	5.41	7.06	27.66	0.71	32.17	3.89	0.14	18.08	13	28.09
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0.56	0	0	0.66	1.1	6.13	0.95	5.26	0.42	0.66	0.97	0	2.15	1.9	0.71
ENSG00000279457	19.88	49.82	51.48	33.55	23.68	38.77	49.7	66.58	34.08	82.11	39.48	48.87	71.57	44.26	58.73	30.65
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	10.16	3.26	1.14	2.97	4.3	2.67	2.77	1.12	0.8	0.98	1.34	0.85	0.64	2.51	3.29	4.23
ENSG00000241670	3.95	0	9.64	1.54	0.63	1.78	3.61	4.9	0	8.45	0.23	0	0	0.85	1.3	1.17
ENSG00000236679	24.01	17.09	0	0	0	0.31	1.99	0	1.12	6.61	0	0.91	0	0	0.63	0
ENSG00000236743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	46.52	14.83	7.8	52.23	95.42	76.39	18.01	34.25	69.33	1.24	83.74	20.57	4.82	50.48	52.84	89.12
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	179.71	92.11	48.95	97.43	139.59	112.36	100.31	79.57	112.31	97.47	129.43	35.66	43.56	77.13	109.47	117.9
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.04	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0.09
ENSG00000230021	5.51	5.48	4.67	1.16	2.93	1.55	0.97	0.34	0	1.24	1.51	0.14	0.29	1.54	1.24	2.23
ENSG00000223659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	4.73	6.6	7.41	1.15	2.75	2.63	4.8	2.52	8.87	7.2	2.18	3.72	0.48	0.99	5.34	1.85
ENSG00000225630	45.52	49.95	28.78	83.56	81.81	96.14	70.58	122.17	223.11	46.06	60.09	108.63	18.88	121.65	257.44	135.71
ENSG00000276171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237973	21.05	8.46	4.1	1.68	7.26	7.41	10.06	7.99	12.19	3.33	13.03	20.83	3.76	17.24	30.98	15.36
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	0.17	0.44	0.24	1.62	0.43	0.25	1.74	0.6	0.87	1.3	0.67	0.43	0.07	0.36	0.6	0.8
ENSG00000240409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248527	848.71	751.39	822.66	585.56	645.68	931.71	1414.14	1193.92	1661.08	1255.49	746.56	985.8	450.49	1042.55	1626.39	911.1
ENSG00000198744	0.37	0.07	0	0	0.33	0.17	0.15	0.71	0.9	0.53	0.83	0.41	0.3	0.24	0.58	0.61
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224956	283.56	151.08	97.44	67.39	178.07	161.12	144.12	112.27	184.87	166.3	198.56	50.08	82.17	122.45	167.9	193.22
ENSG00000235373	0.95	0.42	0	2.05	7.29	3.92	0.3	1.17	1.47	0.05	6.55	0.92	0	2.71	1.92	4.3
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240618	9.17	2.82	4.83	12.74	37.57	26.24	4.37	2.85	17.71	1.97	23.74	1.36	0	10.18	11.4	19.37
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	0	0	0	1.15	2.57	0.39	0.03	0.06	0.74	0	1.37	0.17	0	0.99	0.57	0.6
ENSG00000237491	0.75	0	0	0.72	0.58	1.19	2.43	1.73	0.48	0.11	0.56	0.78	0.46	0.49	1.06	1.14
ENSG00000230092	0.2	0.8	0	4.18	1.52	0.46	0	0	0.14	0	0.32	0.47	0.16	0.13	1.15	0.29
ENSG00000177757	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0
ENSG00000228794	2.75	3.27	2.76	2.54	5.02	4.05	6.38	3.08	2.83	1.3	3.01	4.18	5.29	7.96	4.29	3.44
ENSG00000225880	1.14	0.92	1.19	1.24	1.32	1.46	1.28	1.57	0.69	0.64	1.25	1.46	1.46	1.95	0.93	0.97
ENSG00000230368	0.19	2.6	0	0	0.12	0.83	0	0.99	0	0	0.11	0	0.51	0	0	0
ENSG00000234711	0.29	0	0	0	0.07	0	0	0	0	0	0.04	0.11	0	0	0.28	0.31
ENSG00000272438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.02	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
ENSG00000188976	34.69	34.36	34.64	37.93	32.12	32.11	44.81	40.34	38.27	54.78	23.85	37.62	40.74	41.34	38.27	34.78
ENSG00000187961	8.48	7.15	8.96	13.67	10.28	11.33	3.66	7.15	7.63	3.52	10.67	16.89	11.39	11.95	7.52	12.49
ENSG00000277294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187583	0.13	0.66	0.24	0.19	0.52	0.39	0.7	1.45	0.19	0.87	0.83	0.72	0.5	0.19	0.67	0.56
ENSG00000187642	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0
ENSG00000272512	0.24	0.33	0	0.9	0.24	0.16	0.15	0.29	0.13	0.5	0.6	0.05	0.39	1.15	0.58	0.13
ENSG00000188290	5.71	11.16	7.06	12.92	2.97	2.28	1.73	1.06	3.08	3.83	18.63	9.71	12.14	9.23	3.85	4.66
ENSG00000187608	112.01	462.13	168.35	697.56	50.54	58.76	125.86	88.67	94.42	185.33	3152.17	133.71	200.11	96.06	137.94	101.74
ENSG00000231702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
